atc_2|atc_2_desc
A01|Stomatological preparations
A02|Drugs for acid related disorders
A03|Drugs for functional gastrointestinal disorders
A04|Antiemetics and antinauseants
A05|Bile and liver therapy
A06|Drugs for constipation
A07|Antidiarrheals, intestinal anti-inflammatory/anti-infective agents
A08|Antiobesity preparations, excluding diet products
A09|Digestives, including enzymes
A10|Drugs used in diabetes
A11|Vitamins
A12|Mineral supplements
A13|Tonics
A14|Anabolic agents for systemic use
A15|Appetite stimulants
A16|Other alimentary tract and metabolism products
B01|Antithrombotic agents
B02|Antihemorrhagics
B03|Antianemic preparations
B05|Blood substitutes and perfusion solutions
B06|Other hematological agents
C01|Cardiac therapy
C02|Antihypertensives
C03|Diuretics
C04|Peripheral vasodilators
C05|Vasoprotectives
C07|Beta blocking agents
C08|Calcium channel blockers
C09|Agents acting on the renin–angiotensin system
C10|Lipid modifying agents
D01|Antifungals for dermatological use
D02|Emollients and protectives
D03|Preparations for treatment of wounds and ulcers
D04|Antipruritics, including antihistamines, anesthetics, etc.
D05|Antipsoriatics
D06|Antibiotics and chemotherapeutics for dermatological use
D07|Corticosteroids, dermatological preparations
D08|Antiseptics and disinfectants
D09|Medicated dressings
D10|Anti-acne preparations
D11|Other dermatological preparations
G01|Gynecological antiinfectives and antiseptics
G02|Other gynecologicals
G03|Sex hormones and modulators of the genital system
G04|Urologicals
H01|Pituitary and hypothalamic hormones and analogues
H02|Corticosteroids for systemic use
H03|Thyroid therapy
H04|Pancreatic hormones
H05|Calcium homeostasis
J01|Antibacterials for systemic use
J02|Antimycotics for systemic use
J04|Antimycobacterials
J05|Antivirals for systemic use
J06|Immune sera and immunoglobulins
J07|Vaccines
L01|Antineoplastic agents
L02|Endocrine therapy
L03|Immunostimulants
L04|Immunosuppressants
M01|Anti-inflammatory and antirheumatic products
M02|Topical products for joint and muscular pain
M03|Muscle relaxants
M04|Antigout preparations
M05|Drugs for treatment of bone diseases
M09|Other drugs for disorders of the musculo-skeletal system
N01|Anesthetics
N02|Analgesics
N03|Antiepileptics
N04|Anti-parkinson drugs
N05|Psycholeptics
N06|Psychoanaleptics
N07|Other nervous system drugs
P01|Antiprotozoals
P02|Anthelmintics
P03|Ectoparasiticides, including scabicides, insecticides and repellents
R01|Nasal preparations
R02|Throat preparations
R03|Drugs for obstructive airway diseases
R05|Cough and cold preparations
R06|Antihistamines for systemic use
R07|Other respiratory system products
S01|Ophthalmologicals
S02|Otologicals
S03|Ophthalmological and otological preparations
V01|Allergens
V03|All other therapeutic products
V04|Diagnostic agents
V06|General nutrients
V07|All other non-therapeutic products
V08|Contrast media
V09|Diagnostic radiopharmaceuticals
V10|Therapeutic radiopharmaceuticals
V20|Surgical dressings
