atc_4|atc_4_desc
A01AA|Caries prophylactic agents
A01AB|Antiinfectives and antiseptics for local oral treatment
A01AC|Corticosteroids for local oral treatment
A01AD|Other agents for local oral treatment
A02AA|Magnesium compounds
A02AB|Aluminium compounds
A02AC|Calcium compounds
A02AD|Combinations and complexes of aluminium, calcium and magnesium compounds
A02AF|Antacids with antiflatulents
A02AG|Antacids with antispasmodics
A02AH|Antacids with sodium bicarbonate
A02AX|Antacids, other combinations
A02BA|H2-receptor antagonists
A02BB|Prostaglandins
A02BC|Proton pump inhibitors
A02BD|Combinations for eradication of Helicobacter pylori
A02BX|Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
A03AA|Synthetic anticholinergics, esters with tertiary amino group
A03AB|Synthetic anticholinergics, quaternary ammonium compounds
A03AC|Synthetic antispasmodics, amides with tertiary amines
A03AD|Papaverine and derivatives
A03AE|Serotonin receptor antagonists
A03AX|Other drugs for functional gastrointestinal disorders
A03BA|Belladonna alkaloids, tertiary amines
A03BB|Belladonna alkaloids, semisynthetic, quaternary ammonium compounds
A03CA|Synthetic anticholinergic agents in combination with psycholeptics
A03CB|Belladonna and derivatives in combination with psycholeptics
A03CC|Other antispasmodics in combination with psycholeptics
A03DA|Synthetic anticholinergic agents in combination with analgesics
A03DB|Belladonna and derivatives in combination with analgesics
A03DC|Other antispasmodics in combination with analgesics
A03EA|Antispasmodics, psycholeptics and analgesics in combination
A03ED|Antispasmodics in combination with other drugs
A03FA|Propulsives
A04AA|Serotonin (5HT3) antagonists
A04AD|Other antiemetics
A05AA|Bile acids and derivatives
A05AB|Preparations for biliary tract therapy
A05AX|Other drugs for bile therapy
A05BA|Liver therapy
A06AA|Softeners, emollients
A06AB|Contact laxatives
A06AC|Bulk-forming laxatives
A06AD|Osmotically acting laxatives
A06AG|Enemas
A06AH|Peripheral opioid receptor antagonists
A06AX|Other drugs for constipation
A07AA|Antibiotics
A07AB|Sulfonamides
A07AC|Imidazole derivatives
A07AX|Other intestinal antiinfectives
A07BA|Charcoal preparations
A07BB|Bismuth preparations
A07BC|Other intestinal adsorbents
A07CA|Oral rehydration salt formulations
A07DA|Antipropulsives
A07EA|Corticosteroids acting locally
A07EB|Antiallergic agents, excl. corticosteroids
A07EC|Aminosalicylic acid and similar agents
A07FA|Antidiarrheal microorganisms
A07XA|Other antidiarrheals
A08AA|Centrally acting antiobesity products
A08AB|Peripherally acting antiobesity products
A08AX|Other antiobesity drugs
A09AA|Enzyme preparations
A09AB|Acid preparations
A09AC|Enzyme and acid preparations, combinations
A10AB|Insulins and analogues for injection, fast-acting
A10AC|Insulins and analogues for injection, intermediate-acting
A10AD|Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting
A10AE|Insulins and analogues for injection, long-acting
A10AF|Insulins and analogues for inhalation
A10BA|Biguanides
A10BB|Sulfonylureas
A10BC|Sulfonamides (heterocyclic)
A10BD|Combinations of oral blood glucose lowering drugs
A10BF|Alpha glucosidase inhibitors
A10BG|Thiazolidinediones
A10BH|Dipeptidyl peptidase 4 (DPP-4) inhibitors
A10BJ|Glucagon-like peptide-1 (GLP-1) analogues
A10BK|Sodium-glucose co-transporter 2 (SGLT2) inhibitors
A10BX|Other blood glucose lowering drugs, excl. insulins
A10XA|Aldose reductase inhibitors
A11AA|Multivitamins with minerals
A11AB|Multivitamins, other combinations
A11BA|Multivitamins, plain
A11CA|Vitamin A, plain
A11CB|Vitamin A and D in combination
A11CC|Vitamin D and analogues
A11DA|Vitamin B1, plain
A11DB|Vitamin B1 in combination with vitamin B6 and/or vitamin B12
A11EA|Vitamin B-complex, plain
A11EB|Vitamin B-complex with vitamin C
A11EC|Vitamin B-complex with minerals
A11ED|Vitamin B-complex with anabolic steroids
A11EX|Vitamin B-complex, other combinations
A11GA|Ascorbic acid (vitamin C), plain
A11GB|Ascorbic acid (vitamin C), combinations
A11HA|Other plain vitamin preparations
A11JA|Combinations of vitamins
A11JB|Vitamins with minerals
A11JC|Vitamins, other combinations
A12AA|Calcium
A12AX|Calcium, combinations with vitamin D and/or other drugs
A12BA|Potassium
A12CA|Sodium
A12CB|Zinc
A12CC|Magnesium
A12CD|Fluoride
A12CE|Selenium
A12CX|Other mineral products
A14AA|Androstan derivatives
A14AB|Estren derivatives
A16AA|Amino acids and derivatives
A16AB|Enzymes
A16AX|Various alimentary tract and metabolism products
B01AA|Vitamin K antagonists
B01AB|Heparin group
B01AC|Platelet aggregation inhibitors excl. heparin
B01AD|Enzymes
B01AE|Direct thrombin inhibitors
B01AF|Direct factor Xa inhibitors
B01AX|Other antithrombotic agents
B02AA|Amino acids
B02AB|Proteinase inhibitors
B02BA|Vitamin K
B02BB|Fibrinogen
B02BC|Local hemostatics
B02BD|Blood coagulation factors
B02BX|Other systemic hemostatics
B03AA|Iron bivalent, oral preparations
B03AB|Iron trivalent, oral preparations
B03AC|Iron, parenteral preparations
B03AD|Iron in combination with folic acid
B03AE|Iron in other combinations
B03BA|Vitamin B12 (cyanocobalamin and analogues)
B03BB|Folic acid and derivatives
B03XA|Other antianemic preparations
B05AA|Blood substitutes and plasma protein fractions
B05AX|Other blood products
B05BA|Solutions for parenteral nutrition
B05BB|Solutions affecting the electrolyte balance
B05BC|Solutions producing osmotic diuresis
B05CA|Antiinfectives
B05CB|Salt solutions
B05CX|Other irrigating solutions
B05DA|Isotonic solutions
B05DB|Hypertonic solutions
B05XA|Electrolyte solutions
B05XB|Amino acids
B05XC|Vitamins
B05XX|Other i.v. solution additives
B05ZA|Hemodialytics, concentrates
B05ZB|Hemofiltrates
B06AA|Enzymes
B06AB|Heme products
B06AC|Drugs used in hereditary angioedema
B06AX|Other hematological agents
C01AA|Digitalis glycosides
C01AB|Scilla glycosides
C01AC|Strophanthus glycosides
C01AX|Other cardiac glycosides
C01BA|Antiarrhythmics, class Ia
C01BB|Antiarrhythmics, class Ib
